Tidspunkt,Trafikkmengde,Globalstraling,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Vindkast
2023-02-11 15:00,29.0,27.583333333333332,0.0,7.75,128.16666666666666,1.7833333333333332,2.8000000000000003
2023-02-11 16:00,34.0,3.733333333333334,0.0,7.633333333333333,153.0,2.15,3.8000000000000003
2023-02-11 17:00,29.0,0.0,0.0,6.633333333333333,131.33333333333334,3.1,4.75
2023-02-11 18:00,19.0,0.0,0.0,6.416666666666667,135.0,2.9,4.8
2023-02-11 19:00,8.0,0.0,0.0,6.666666666666667,118.0,1.55,3.0500000000000003
2023-02-11 20:00,13.0,0.11666666666666668,0.0,7.583333333333333,211.83333333333334,1.3833333333333335,4.0
2023-02-11 21:00,10.0,0.0,0.0,8.383333333333335,272.8333333333333,2.066666666666667,5.05
2023-02-11 22:00,13.0,0.13333333333333333,0.0,8.34,283.5,2.766666666666667,5.6499999999999995
2023-02-11 23:00,6.0,0.0,0.0,8.116666666666665,265.8333333333333,1.1833333333333333,3.1
2023-02-12 00:00,1.0,0.0,0.0,7.516666666666667,163.83333333333334,1.4000000000000001,2.6999999999999997
2023-02-12 01:00,1.0,0.0,0.0,7.416666666666667,157.83333333333334,0.9,2.3000000000000003
2023-02-12 02:00,2.0,0.0,0.0,7.45,192.66666666666666,1.2333333333333334,3.0
2023-02-12 03:00,0.0,0.0,0.0,7.483333333333333,163.5,1.7666666666666666,3.5
2023-02-12 04:00,0.0,0.0,0.0,7.483333333333333,178.16666666666666,2.1,4.3500000000000005
2023-02-12 05:00,1.0,0.0,0.0,7.366666666666667,165.83333333333334,1.9500000000000002,3.85
2023-02-12 06:00,1.0,0.0,0.0,7.3,117.0,0.8500000000000001,2.1999999999999997
2023-02-12 07:00,4.0,1.6800000000000002,0.0,7.516666666666667,161.83333333333334,2.3666666666666667,4.15
2023-02-12 08:00,4.0,10.683333333333332,0.0,7.766666666666667,164.0,3.3000000000000003,4.6499999999999995
2023-02-12 09:00,4.0,39.56666666666667,0.0,7.733333333333333,161.66666666666666,3.96,5.5
2023-02-12 10:00,13.0,46.300000000000004,0.0,7.75,160.83333333333334,4.166666666666667,5.8500000000000005
2023-02-12 11:00,15.0,52.833333333333336,0.0,7.733333333333333,162.16666666666666,3.466666666666667,5.1499999999999995
2023-02-12 12:00,18.0,49.199999999999996,0.0,7.6499999999999995,161.83333333333334,3.1,4.8500000000000005
2023-02-12 13:00,24.0,31.733333333333334,0.0,7.816666666666666,163.33333333333334,2.5500000000000003,4.2
2023-02-12 14:00,32.0,21.766666666666666,0.0,7.783333333333334,184.16666666666666,1.4000000000000001,3.5500000000000003
2023-02-12 15:00,13.0,13.216666666666667,0.0,7.966666666666666,208.16666666666666,1.5833333333333333,4.8500000000000005
2023-02-12 16:00,20.0,1.9000000000000001,0.0,7.966666666666666,189.5,1.2,3.65
2023-02-12 17:00,27.0,0.0,0.0,7.733333333333333,128.66666666666666,1.0833333333333333,2.75
2023-02-12 18:00,12.0,0.06666666666666667,0.0,7.583333333333333,135.33333333333334,1.2333333333333334,2.9
2023-02-12 19:00,14.0,0.11666666666666668,0.0,7.316666666666666,153.83333333333334,1.95,3.1999999999999997
2023-02-12 20:00,17.0,0.15,0.0,7.3,163.0,2.0,3.5500000000000003
2023-02-12 21:00,8.0,0.016666666666666666,0.0,7.283333333333334,100.83333333333333,0.9500000000000001,2.0
2023-02-12 22:00,4.0,0.0,0.0,7.216666666666666,116.83333333333333,1.7166666666666666,3.0
2023-02-12 23:00,2.0,0.0,0.0,7.1499999999999995,128.66666666666666,1.0333333333333334,2.0
2023-02-13 00:00,0.0,0.0,0.0,7.1000000000000005,118.33333333333333,2.0833333333333335,3.15
2023-02-13 01:00,2.0,0.0,0.0,7.1499999999999995,135.16666666666666,1.4333333333333333,2.8000000000000003
2023-02-13 02:00,0.0,0.0,0.0,7.1000000000000005,139.33333333333334,1.9333333333333333,3.1999999999999997
2023-02-13 03:00,0.0,0.0,0.0,7.033333333333334,142.16666666666666,2.016666666666667,3.0500000000000003
2023-02-13 04:00,1.0,0.0,0.0,6.95,129.0,2.016666666666667,2.8000000000000003
2023-02-13 05:00,6.0,0.0,0.0,6.8500000000000005,122.33333333333333,2.2666666666666666,3.15
2023-02-13 06:00,35.0,0.0,0.0,6.8999999999999995,125.5,1.6333333333333335,2.5
2023-02-13 07:00,186.0,2.3666666666666667,0.0,6.933333333333334,138.5,1.8666666666666665,2.65
2023-02-13 08:00,241.0,25.03333333333333,0.0,6.983333333333333,143.33333333333334,2.4,3.4499999999999997
2023-02-13 09:00,94.0,66.36666666666666,0.0,7.016666666666667,126.66666666666667,2.2333333333333334,3.4
2023-02-13 10:00,33.0,99.28333333333335,0.0,7.266666666666667,151.33333333333334,3.3000000000000003,4.6499999999999995
2023-02-13 11:00,32.0,104.96666666666665,0.0,7.533333333333334,163.5,4.116666666666666,5.45
2023-02-13 12:00,40.0,104.10000000000001,0.0,7.716666666666666,164.66666666666666,3.8333333333333335,5.05
2023-02-13 13:00,38.0,91.33333333333333,0.0,7.916666666666667,162.66666666666666,3.233333333333333,4.3999999999999995
2023-02-13 14:00,67.0,63.56666666666666,0.0,8.066666666666666,167.16666666666666,2.4499999999999997,3.65
2023-02-13 15:00,192.0,34.06666666666667,0.0,7.866666666666667,182.83333333333334,2.533333333333333,4.3999999999999995
2023-02-13 16:00,232.0,10.783333333333333,0.0,6.833333333333333,188.33333333333334,2.983333333333333,5.8500000000000005
2023-02-13 17:00,120.0,0.0,0.0,6.266666666666667,140.33333333333334,3.3833333333333333,5.3
